"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"b-30373732_0112_0008_CDC0A369","b-30373732","b-30373732_CDC0A369","Lang-uolo-Jirapa","dga","","0","56","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"b-30373732_0112_0009_15E01B19","b-30373732","b-30373732_15E01B19","Lang-uolo-Jirapa","dga","","0","148","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"b-30373732_0115_0003_81657AA1","b-30373732","b-30373732_81657AA1","Lang-uolo-Jirapa","dga","","0","402","","","2014/10/11","","2014-1:0115","HH Rotation 0:Day 163","","","","","","General Feedback","l","UWR"
"Drama","b-30373732","b-30373732_4F4230DB","Lang-uolo-Jirapa","dga","","1","554","","","2014/10/11","","2014-1:0115","HH Rotation 0:Day 163","","","","","","General Feedback","l","UWR"
"Bush fires","","LB-2_rgpwa8k04a_5o","","dga","","6","879","Interview","","","","","Mavis Derigobaa","","","","","","General Agriculture","l","UWR"
"Current agric messages in the Talking Book for October_November","","LB-2_rgpwa8k04a_5p","","dga","","4","290","Lecture","","","","","","","","","","","General Agriculture","l","UWR"
"Talking Book explained","","LB-2_rgpwa8k04a_5q","","dga","","5","1024","Lecture","","","","","","","","","","","General Agriculture","l","UWR"
"Drama delivery with a skilled attendant","","LB-2_rgpwa8k04a_5r","GHS Jirapa","dga","","8","716","Drama","All","","","","Play Group","","","","","","General Health","l","UWR"
"Causes and prevention of diarrhea in children                        ","","LB-2_rgpwa8k04a_5s","","dga","","5","678","Drama","","","","","","","","","","","General Health","l","UWR"
"New messages on health for October November","","LB-2_rgpwa8k04a_5t","","dga","","4","344","Lecture","","","","","","","","","","","General Health","l","UWR"
"Proper use of LLIN","","LB-2_rgpwa8k04a_5u","AGAMAL","dga","","6","1054","Interview","","","","","James Ziekye","","","","","","General Health","l","UWR"
"Routine immunization","","LB-2_rgpwa8k04a_5v","","dga","","5","744","Interview","","","","","Omuo Emmanuel","","","","","","General Health","l","UWR"
"Stop child marriage now","","LB-2_rgpwa8k04a_5w","","dga","","5","951","Interview","","","","","James Ziekye","","","","","","General Health","l","UWR"
"Awareness on Ebola","","LB-2_rgpwa8k04a_5x","","dga","","8","762","Interview","All","","","","Mr. Omuo Emmanuel","","","","","","General Other","l","UWR"
"Causes, symptoms and prevention of cholera","","LB-2_rgpwa8k04a_5y","GHS-Jirapa","dga","","6","1056","Interview","","","running stomach, contaminated food","","","","","","","","General Other","l","UWR"
"Benefits of Hand Washing with Soap and Running Water ","","LB-2_rgpwa8k04a_5z","GHS Jirapa","dga","","6","327","Interview","","","","","Elizabeth Dabuo","","","","","","General Health","l","UWR"
"Benefits of hands washing___b-32353639_8C06ABDB","","LB-2_rgpwa8k04a_60","","en","","1","327","","","","","","","","","","","","General Health","l","UWR"
"Birth certificate registeration","b-30373732","b-30373732_B908AB06","Birth & Death Registry-Jirapa","dga","","3","601","Interview","","2014/10/16","","2014-1:0120","HH Rotation 0:Day 168","","","","","","General Feedback","l","UWR"
"Benefits of colostrum and early initiation of breastfeeding","b-30373732","b-30373732_E40A09D1","Sininging Group","dga","","4","448","Song","","2014/11/23","","2014-1:0138","HH Rotation 0:Day 206","","","","","","General Feedback","l","UWR"
"Reducing chances of getting malaria","b-30373732","b-30373732_AE7AA094","Singing Group","dga","","4","316","Song","","2014/11/23","","2014-1:0138","HH Rotation 0:Day 206","","","","","","General Agriculture","l","UWR"
"Stop child marriage in this community","b-30373732","b-30373732_6ED0C1DD","Drama Group","dga","","3","638","Drama","","2014/11/23","","2014-1:0139","HH Rotation 0:Day 206","","","","","","General Feedback","l","UWR"
"Awareness on how to enroll a child in kindergarten","b-30373732","b-30373732_A903BEE8","GES Jirapa","dga","","2","451","","","2014/11/23","","2014-1:0140","HH Rotation 0:Day 206","","","","","","General Feedback","l","UWR"
"Do i really need a skilled birth attendant","b-30373732","b-30373732_1D058B8D","GHS Jirapa","dga","","3","926","Interview","","2014/11/23","","2014-1:0143","HH Rotation 0:Day 206","","","","","","General Feedback","l","UWR"
"Summary: Reducing the chance of getting malaria","b-30373732","b-30373732_6429B08B","Lang-uolo-Jirapa","dga","","1","207","","","2014/11/27","","2014-1:0148","HH Rotation 0:Day 210","","","","","","General Feedback","l","UWR"
"Summary: Do i really need a skilled birth attendant","b-30373732","b-30373732_6376D11C","Lang-uolo-Jirapa","dga","","2","196","","","2014/11/27","","2014-1:0148","HH Rotation 0:Day 210","","","","","","General Feedback","l","UWR"
"Summary: Benefits of colostrum and early initiation of breast milk","b-30373732","b-30373732_7ACFC2E9","Lang-uolo-Jirapa","dga","","2","138","","","2014/11/27","","2014-1:0148","HH Rotation 0:Day 210","","","","","","General Feedback","l","UWR"
"Summary: Awareness on how to enroll a child in Kindergarten","b-30373732","b-30373732_F504FAF6","Lang-uolo-Jirapa","dga","","2","123","","","2014/11/27","","2014-1:0148","HH Rotation 0:Day 210","","","","","","General Feedback","l","UWR"
"Summary: Stop child marriage in this community","b-30373732","b-30373732_DD391292","Lang-uolo-Jirapa","dga","","1","207","","","2014/11/28","","2014-1:0148","HH Rotation 0:Day 211","","","","","","General Feedback","l","UWR"
"Summary: Birth certificate registration","b-30373732","b-30373732_A57C65C3","Lang-uolo-Jirapa","dga","","1","229","","","2014/11/28","","2014-1:0148","HH Rotation 0:Day 211","","","","","","General Feedback","l","UWR"
"November and December new messages","b-30373732","b-30373732_4A2078B2","Lang-uolo-Jirapa","dga","","2","6","Lecture","","2014/11/28","","2014-1:0149","HH Rotation 0:Day 211","","","","","","General Feedback","l","UWR"
"Dry season gardening","B-32353265","B-32353265_97240B68","MOFA Jirapa","dga","","3","1176","Interview","","2014/10/31","","2014-5:0006","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Care for animals and poultry during the dry season","B-32353265","B-32353265_D782EC69","MOFA Jirapa","dga","","3","750","Lecture","","2014/10/31","","2014-5:0006","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Dry season gardening","B-32353265","B-32353265_B9048A2B","Tizza Saadone-Jirapa","dga","","1","76","","","2014/10/31","","2014-5:0011","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Summary: Care for animals and poultry during dry season","B-32353265","B-32353265_4D27FA2C","Tizza Saadone-Jirapa","dga","","1","112","","","2014/10/31","","2014-5:0011","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Agriculture introduction","B-32353265","B-32353265_9B4D2B23","Tizza Saadone-Jirapa","dga","","3","54","Lecture","","2014/10/31","","2014-5:0011","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Health introduction","B-32353265","B-32353265_F26BA8DF","Tizza Saadone-Jirapa","dga","","2","108","Lecture","","2014/10/31","","2014-5:0011","HH Rotation 0:Day 001","","","","","","General Feedback","l","UWR"
"Influencial community person-Tizza Komporo","b-32376566","b-32376566_4D0276D5","Guri-Jirapa","dga","","1","79","","","2148/07/16","","2014-5:0049","HH Rotation 0:Day --/","","","","","","General Feedback","l","UWR"
"Influencial person- Tampoe","B-32353265","B-32353265_7C09145F","Tizza Saadone-Jirapa","dga","","1","97","","","2014/11/01","","2014-5:0014","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"Influencial Person Yagha Central","B-32353265","B-32353265_D95E4F2C","Tizza Saadone-Jirapa","dga","","1","91","","","2014/11/01","","2014-5:0013","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"Birth certificate registeration","","LB-2_rgpwa8k04a_61","","dga","","4","782","Interview","","","","","","","","","","","General Feedback","l","UWR"
"Talking book explained","","LB-2_rgpwa8k04a_62","","dga","","3","1025","","","","","","","","","","","","General Agriculture","l","UWR"
"Causes, symptoms and prevention of cholera___b-32353639_3D41A05C-1___LB-2_rgpwa8k04a_5y","","LB-2_rgpwa8k04a_64","","dga","","2","1057","","","","","","","","","","","","General Other","l","UWR"
"Do i really need a skilled birth attendant___Kure-Jirapa","","LB-2_rgpwa8k04a_65","","dga","b-30373732_1D058B8D","21","988","Interview","","","","","","","","","Kure-Jirapa","","General Other","l","UWR"
"Do i really need a skilled birth attendant","","LB-2_rgpwa8k04a_66","","dga","b-30373732_1D058B8D","8","1004","Interview","","","","","","","","","Doggoh-Jirapa","","General Other","l","UWR"
"Do i really need a skilled birth attendant___Tampoe-Jirapa","","LB-2_rgpwa8k04a_67","","dga","b-30373732_1D058B8D","7","1009","Interview","","","","","","","","","Tampoe-Jirapa","","General Other","l","UWR"
"Do i really need a skilled birth attendant___Tizza Komporo-Jirapa","","LB-2_rgpwa8k04a_68","","dga","b-30373732_1D058B8D","6","998","Interview","","","","","","","","","Tizza Komporo-Jirapa","","General Other","l","UWR"
"Do i really need a skilled birth attendant___Yagha Central-Jirapa","","LB-2_rgpwa8k04a_69","","dga","b-30373732_1D058B8D","7","1003","Interview","","","","","","","","","Yagha Central-Jirapa","","General Other","l","UWR"
"Farm radio","b-37363166","b-37363166_C101E0E0","Non-specific","dga","","1","127","","","2027/08/01","","2014-3:0036","HH Rotation 0:Day _22","","","","","","General Feedback","l","UWR"
"EXCLUSIVE BREASTFEEDING FOR SIX MONTHS","","LB-2_rgpwa8k04a_6a","","en","","1","359","","","","","","","","","","","","General Health","l","UWR"
"HAND WASHING WITH SOAP","","LB-2_rgpwa8k04a_6b","","en","","1","388","","","","","","","","","","","","General Health","l","UWR"
"AFTER SIX MONTHS EXCLUSIVE BREASTFEDDING INTRODUCE OTHER SUPLEMENTARY FEEDING","","LB-2_rgpwa8k04a_6c","","en","","4","454","","","","","","","","","","","","General Health","l","UWR"
"USE OF LLINs BY ALL COMUNITY MEMBERS","","LB-2_rgpwa8k04a_6d","","en","","1","1096","","","","","","","","","","","","General Health","l","UWR"
"DIARRHEA MANAGEMENT USING ORS AND ZINC TABLETS","","LB-2_rgpwa8k04a_6e","","en","","1","103","","","","","","","","","","","","General Health","l","UWR"
"DELIVERY WITH A SKILLED ATTENDANT AND ANC","","LB-2_rgpwa8k04a_6f","","en","","1","1233","","","","","","","","","","","","General Health","l","UWR"
"EXCLUSIVE BREASTFEEDING AND COMPLEMENTARY FEEDING","","LB-2_rgpwa8k04a_6g","","en","","1","658","","","","","","","","","","","","General Health","l","UWR"
"EXCLUSIVE BREASTFEEDING FOR SIX MONTHS","","LB-2_rgpwa8k04a_6h","","en","","1","604","","","","","","","","","","","","General Health","l","UWR"
"HAND WASHING WITH SOAP","","LB-2_rgpwa8k04a_6i","","en","","1","417","","","","","","","","","","","","General Health","l","UWR"
"IMPORTANCE OF LLINs","","LB-2_rgpwa8k04a_6j","","en","","1","650","","","","","","","","","","","","General Health","l","UWR"
"DRAMA CAUSES AND PREVENTION OF DIARRHEA","","LB-2_rgpwa8k04a_6k","","en","","1","747","","","","","","","","","","","","General Health","l","UWR"
"PROPER USE OF LLIN ","","LB-2_rgpwa8k04a_6l","","en","","2","1092","","","","","","","","","","","","General Health","l","UWR"
"ROUTINE IMMUNIZATION","","LB-2_rgpwa8k04a_6m","","en","","1","773","","","","","","","","","","","","General Health","l","UWR"
"STOP CHILD MARRIAGE NOW","","LB-2_rgpwa8k04a_6n","","en","","1","983","","","","","","","","","","","","General Health","l","UWR"
"BENIFITS OF HAND WASING WITH SOAP","","LB-2_rgpwa8k04a_6o","","en","","1","370","","","","","","","","","","","","General Health","l","UWR"
"DELIVERY WITH SKILLED ATTENDANT ENGLISH","","LB-2_rgpwa8k04a_6p","","en","","1","745","","","","","","","","","","","","General Health","l","UWR"
"i0-6-16","","LB-2_rgpwa8k04a_6q","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-15","","LB-2_rgpwa8k04a_6r","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-14","","LB-2_rgpwa8k04a_6s","","en","","1","6","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-13","","LB-2_rgpwa8k04a_6t","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-12","","LB-2_rgpwa8k04a_6u","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-11","","LB-2_rgpwa8k04a_6v","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-10","","LB-2_rgpwa8k04a_6w","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-9","","LB-2_rgpwa8k04a_6x","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-8","","LB-2_rgpwa8k04a_6y","","en","","1","12","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-7","","LB-2_rgpwa8k04a_6z","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-6","","LB-2_rgpwa8k04a_70","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-5","","LB-2_rgpwa8k04a_71","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-4","","LB-2_rgpwa8k04a_72","","en","","1","11","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-3","","LB-2_rgpwa8k04a_73","","en","","1","5","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-2","","LB-2_rgpwa8k04a_74","","en","","1","5","","","","","","","","","","","","TB Categories","l","UWR"
"i0-6-1","","LB-2_rgpwa8k04a_75","","en","","1","5","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-1","","LB-2_rgpwa8k04a_76","","en","","1","1","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-2","","LB-2_rgpwa8k04a_77","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-3","","LB-2_rgpwa8k04a_78","","en","","1","1","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-4","","LB-2_rgpwa8k04a_79","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-5","","LB-2_rgpwa8k04a_7a","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-6","","LB-2_rgpwa8k04a_7b","","en","","1","1","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-7","","LB-2_rgpwa8k04a_7c","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-8","","LB-2_rgpwa8k04a_7d","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-9","","LB-2_rgpwa8k04a_7e","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-10","","LB-2_rgpwa8k04a_7f","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-11","","LB-2_rgpwa8k04a_7g","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-12","","LB-2_rgpwa8k04a_7h","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-13","","LB-2_rgpwa8k04a_7i","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-14","","LB-2_rgpwa8k04a_7j","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-15","","LB-2_rgpwa8k04a_7k","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"0-6-16","","LB-2_rgpwa8k04a_7l","","en","","1","2","","","","","","","","","","","","TB Categories","l","UWR"
"DELIVERY AT HOSPITAL WITH SKILLED PERSON","","LB-2_rgpwa8k04a_7m","","en","","1","451","","","","","","","","","","","","Neonatal care","l","UWR"
"DIARHEA KILLS","","LB-2_rgpwa8k04a_7n","","en","","1","516","","","","","","","","","","","","General Other","l","UWR"
"EBOLA AWARENESS","","LB-2_rgpwa8k04a_7o","","en","","1","922","","","","","","","","","","","","General Other","l","UWR"
"QUEEN MOTHERS SPEECH","","LB-2_rgpwa8k04a_7p","","en","","1","116","","","","","","","","","","","","General Other","l","UWR"
"Make transport arrangement before your delivery and register with NHIS","b-37616566","b-37616566_374B1BD1","Singing Group","dga","","2","555","","","2120/02/12","","2014-6:0007","HH Rotation 0:Day -!,)","","","","","","General Feedback","l","UWR"
"Child marriage is harmful and should be stopped","b-37616566","b-37616566_10BEA2B0","Singing Group","dga","","6","448","Song","All","2120/02/12","underage marriage, negative consequences of child marriage, effects of child marriage","2014-6:0007","HH Rotation 0:Day -!,)","Negative consequences of child marriage,underage marriage effects to society","","","","","General Feedback","l","UWR"
"Routin child immunization","b-37616566","b-37616566_2B16CD48","Singing group","dga","","3","466","Song","","2120/02/12","","2014-6:0007","HH Rotation 0:Day -!,)","","","","","","General Feedback","l","UWR"
"Register your child's birth within the first year of life","b-37616566","b-37616566_C18F3BF7","Drama Group","dga","","4","881","Drama","","2120/02/16","","2014-6:0021","HH Rotation 0:Day -!,-","","","","","","General Feedback","l","UWR"
"Enroll children with disabilities in school-#1","b-37616566","b-37616566_7395B627","Drama Group","dga","","4","701","Drama","","2120/02/16","","2014-6:0021","HH Rotation 0:Day -!,-","","","","","","General Feedback","l","UWR"
"Enroll children with disabilities and special learning needs in school #2","b-37616566","b-37616566_75E94349","Lang-uolo-Jirapa","dga","","1","251","","","2120/02/16","","2014-6:0021","HH Rotation 0:Day -!,-","","","","","","General Feedback","l","UWR"
"Enroll children with disabilities and special learning needs in school #3","b-37616566","b-37616566_3B3010FB","Lang-uolo-Jirapa","dga","","1","81","","","2120/02/16","","2014-6:0021","HH Rotation 0:Day -!,-","","","","","","General Feedback","l","UWR"
"Mixed feeding and breast milk alternatives can be harmful to your baby","b-32353639","b-32353639_0E061BED","GHS Jirapa","dga","","2","476","","","2014/11/11","","2014-4:0028","HH Rotation 0:Day 048","","","","","","General Feedback","l","UWR"
"New health messages for January/February 2015","b-32353639","b-32353639_DD05DFF9","Tugo Central-Jirapa","dga","","3","190","Interview","","2014/12/04","","2014-4:0032","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Sumarry: Register your chil's birth within the first year of life","b-32353639","b-32353639_D05ABEB8","Tugo Central-Jirapa","dga","","1","263","","","2014/12/04","","2014-4:0032","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Sumarry: Make transport arrangement towards your delivery and register with NHIS for free","b-32353639","b-32353639_6001342B","Tugo Central-Jirapa","dga","","1","216","","","2014/12/04","","2014-4:0033","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Mixed feeding and breast milk alternatives can be harmful to babies ","b-32353639","b-32353639_EDB44CED","Ghana Health Service-Jirapa","dga","","7","615","Interview","Mothers","2014/12/04","brestmilk, exclusive","2014-4:0032","HH Rotation 0:Day 071","To promote exclusive breastfeeding for the first six months of a child's life","","","","","General Feedback","l","UWR"
"Sumarry: Mixed feeding and breast milk alternatives can be harmful to babies","b-32353639","b-32353639_45CAA1DA","Tugo Central-Jirapa","dga","","1","151","","","2014/12/04","","2014-4:0032","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Title: Make transport arrangement towards your delivery and register with NHIS for free","b-32353639","b-32353639_91F86534","Tugo Central-Jirapa","dga","","1","11","","","2014/12/04","","2014-4:0032","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Sumarry: Enroll children with disability and special needs in school","b-32353639","b-32353639_B746E988","Tugo Central-Jirapa","dga","","1","170","","","2014/12/04","","2014-4:0033","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Title:Child marriage is not good, stop it!","b-32353639","b-32353639_527A01D7","Tugo Central-Jirapa","dga","","1","5","","","2014/12/04","","2014-4:0033","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Sumarry: Child marriage is not good, stop it!","b-32353639","b-32353639_A6988C82","Tugo Central-Jirapa","dga","","2","175","","","2014/12/04","","2014-4:0033","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Title: Routin Immunization","b-32353639","b-32353639_E502CE15","Tugo Central-Jirapa","dga","","1","4","","","2014/12/04","","2014-4:0034","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Sumarry: Routine immunization","b-32353639","b-32353639_9D082D68","Tugo Central-Jirapa","dga","","1","119","","","2014/12/04","","2014-4:0034","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Title: Enroll children with disabilities and special learning needs in school ","b-32353639","b-32353639_5002103E","Tugo Central-Jirapa","dga","","1","8","","","2014/12/04","","2014-4:0036","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"January and February new messages","b-32353639","b-32353639_CE197045","Tugo Central-Jirapa","dga","","1","6","","","2014/12/04","","2014-4:0038","HH Rotation 0:Day 071","","","","","","General Feedback","l","UWR"
"Selecting new site for maize,beans, millet, guinea corn/kapaala and groundnuts cultivation","b-37616566","b-37616566_93283734","MOFA-Jirapa","dga","","3","841","Interview","","2120/03/12","","2014-6:0026","HH Rotation 0:Day -!/'","","","","","","General Feedback","l","UWR"
"Talking book messages for 2015","b-37616566","b-37616566_8B09F290","LBG","dga","","3","782","Song","","2120/03/14","","2014-6:0030","HH Rotation 0:Day -!/)","","","","","","General Feedback","l","UWR"
"Summary: Selecting new site for maize, beans, millet, guinea corn/kapaala and groundnut cultivation","b-37616566","b-37616566_740A0168","Lang-uolo-Jirapa","dga","","1","208","","","2120/03/14","","2014-6:0029","HH Rotation 0:Day -!/)","","","","","","General Feedback","l","UWR"
"Child marriage can be prevented","b-61666364","b-61666364_B797041C","Ving-ving Women's group","dga","","9","213","Drama","Parents","2015/02/21"," committee, by-laws, dowries childbirth","2015-5:0030","Fidelis and Drama group members","To creat awareness about the effects child marriage and what people can do to prevent child marriage in their communities","","","","","General Feedback","l","UWR"
"Early Enrollment in Kindergarten; Learning Begins at Age 4","b-61666364","b-61666364_47080B33","Ving-ving Women's Group","dga","","7","332","Song","Parents","2015/02/21"," 4 years, enrollment, kindergarten","2015-5:0030","HH Rotation 0:Day 033","To promote enrollment in Kindergarten when the child reaches the age of four","","","","","General Health","l","UWR"
"How to Register your Child at Birth","b-61666364","b-61666364_95B92FAC","Ving-ving Women's Group","dga","","8","313","Song","Parents","2015/02/21","birth certificate, weighing car, district assembly","2015-5:0030","HH Rotation 0:Day 033","To create awareness on how to register children's births","","","","","General Agriculture","l","UWR"
"March/April new messages","b-61666364","b-61666364_DE0E6F61","Yagha Central-Jirapa","dga","","1","5","","","2015/02/11","","2015-5:0019","HH Rotation 0:Day 023","","","","","","General Feedback","l","UWR"
"Voices from best farmers on Good Agricultural Practices","b-61666364","b-61666364_1B1645C0","Best farmers","dga","","8","475","Interview","Farmers","2015/02/18","groundnuts, beans, award","2015-5:0024","HH Rotation 0:Day 030","To create awareness on how the talking book messages are so important to farmers","","","","","General Feedback","l","UWR"
"Best beans farmer voice","b-61666364","b-61666364_1521AA4A","Best Farmers","dga","","7","386","","Farmers","2015/02/18","beans, groundnuts, award","2015-5:0025","HH Rotation 0:Day 030","To create awareness on how the talking book are so important to farmers","","","","","General Feedback","l","UWR"
"Early Child Marriage can be Prevented","b-61666364","b-61666364_BA0D614C","Drama-Group","dga","","8","630","Drama","All","2015/02/21","","2015-5:0029","HH Rotation 0:Day 033","","","","","","General Health","l","UWR"
"New agriculture and livestock messages for March/April 2015","b-61666364","b-61666364_1902AC6B","LBG","dga","","4","177","Lecture","","2015/02/22","","2015-5:0037","HH Rotation 0:Day 034","","","","","","General Agriculture","l","UWR"
"Improving Soil Fertility and Land Rotation","b-61666364","b-61666364_6E4CD052","MOFA-Jirapa","dga","","4","1236","Interview","","2015/02/22","","2015-5:0037","HH Rotation 0:Day 034","","","","","","General Agriculture","l","UWR"
"Compost Manure Benefits and Application","b-61666364","b-61666364_539D8B2B","MOFA-Jirapa","dga","","4","1329","Interview","","2015/02/22","","2015-5:0037","HH Rotation 0:Day 034","","","","","","General Agriculture","l","UWR"
"Tree Planting and Afforestation","b-61666364","b-61666364_D9DD6A92","MOFA-Jirapa","dga","","4","625","Interview","","2015/02/22","","2015-5:0037","HH Rotation 0:Day 034","","","","","","General Agriculture","l","UWR"
"Voice of best farmer","b-61666364","b-61666364_3B54C027","BEST FARMER 2014-Jirapa","dga","","2","270","","","2015/02/22","","2015-5:0037","HH Rotation 0:Day 034","","","","","","General Agriculture","l","UWR"
"New health messages for March/April 2015","b-61666364","b-61666364_8276E02C","Yagha Central-Jirapa","dga","","5","192","Lecture","All","2015/02/23","new, March, April","2015-5:0038","HH Rotation 0:Day 035","To raise awareness that the talking book has benn updated with new messages and that each household will continue to receive new messages any time the talking book leaves and comes back to their home","","","","","General Health","l","UWR"
"Drama: Child marriage can be prevented","b-61666364","b-61666364_B2BE9064","Fidelis","dga","","6","135","Drama","All","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Summary: Child marriage can be prevented","b-61666364","b-61666364_FAE8EE24","Yagha Central-Jirapa","dga","","1","110","","","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Title: Child marriage can be prevented","b-61666364","b-61666364_A5146928","Yagha Central-Jirapa","dga","","2","11","","","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Title: How to register your child birth","b-61666364","b-61666364_4F210627","Yagha Central-Jirapa","dga","","2","4","","","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Summary: How to register you child birth","b-61666364","b-61666364_052A2FAC","Yagha Central-Jirapa","dga","","1","117","","","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Title: Early enrollment in Kindergarten; learning begins at age 4","b-61666364","b-61666364_BF615508","Yagha Central-Jirapa","dga","","1","7","","","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Summary: Early enrollment in Kindergarten","b-61666364","b-61666364_7B6931E1","Yagha Central-Jirapa","dga","","1","189","","","2015/02/23","","2015-5:0038","HH Rotation 0:Day 035","","","","","","General Feedback","l","UWR"
"Summary: Livestock housing","b-36343166","b-36343166_8106E19A","Doggoh-Jirapa","dga","","6","133","Interview","Farmers","2023/05/20","pens, health, shelter, heat","2015-5:0057","HH Rotation 0:Day N40","To promote housing for all livestock espercially during the rainy season","","","","","General Feedback","l","UWR"
"How to Breastfeed Properly","b-36343166","b-36343166_3A28EA28","GHS-Jirapa","dga","","8","712","Interview","Mothers","2023/05/20","baby, attached, nipples, milk","2015-5:0059","HH Rotation 0:Day N40","To create awareness on how to properly breastfeed a baby and the signs of whethere a baby has been breastfeeding well or not","","","","","General Health","l","UWR"
"Using ORS and Zinc Tablets to Treat Diarrhea","b-36343166","b-36343166_52C4F698","GHS-Jirapa","dga","","7","732","Interview","Mothers","2023/05/20","germs, mix, severity, dehydration","2015-5:0059","HH Rotation 0:Day N40","To help parents know the dangers of diarrhea and administer ORS in combination with zinc tablets to children under five who have diarrhea","","","","","General Health","l","UWR"
"Summary: How to breastfeed properly ","b-36343166","b-36343166_37311BEB","Doggoh-Jirapa","dga","","1","213","","","2023/05/21","","2015-5:0061","HH Rotation 0:Day N41","","","","","","General Feedback","l","UWR"
"Summary: Using ORS and Zinc tablet to treat diarrhea","b-36343166","b-36343166_AF70FD42","Doggoh-Jirapa","dga","","1","162","","","2023/05/21","","2015-5:0061","HH Rotation 0:Day N41","","","","","","General Feedback","l","UWR"
